year,loss_aud,loss_b
1984,1162900000.0,1.163
1986,442600000.0,0.443
1987,164500000.0,0.164
1988,562000000.0,0.562
1990,156600000.0,0.157
1991,223100000.0,0.223
1993,97200000.0,0.097
1996,251200000.0,0.251
1998,496600000.0,0.497
1999,74200000.0,0.074
2000,477800000.0,0.478
2001,177300000.0,0.177
2005,255100000.0,0.255
2007,57600000.0,0.058
2008,1012200000.0,1.012
2009,116000000.0,0.116
2010,151100000.0,0.151
2011,3187600000.0,3.188
2012,633900000.0,0.634
2015,613200000.0,0.613
2016,715700000.0,0.716
2017,0.0,0.0
2018,168300000.0,0.168
2019,1563500000.0,1.564
2020,1176500000.0,1.176
2021,689800000.0,0.69
2022,8253386925.0,8.253
2023,2027447900.0,2.027
2024,585360359.0,0.585
2025,2117851832.030005,2.118
