year,temp_anomaly_c
1960,-0.05
1961,0.12
1962,-0.12
1963,0.18
1964,-0.27
1965,-0.04
1966,0.03
1967,-0.05
1968,-0.08
1969,0.15
1970,0.17
1971,-0.07
1972,0.17
1973,-0.4
1974,-0.64
1975,-0.42
1976,-0.18
1977,0.16
1978,0.01
1979,0.04
1980,0.22
1981,0.21
1982,0.31
1983,0.39
1984,0.0
1985,0.05
1986,0.22
1987,0.42
1988,0.29
1989,0.15
1990,0.43
1991,0.27
1992,0.07
1993,0.22
1994,0.55
1995,0.23
1996,0.04
1997,0.39
1998,0.67
1999,0.21
2000,0.28
2001,0.42
2002,0.79
2003,0.42
2004,0.47
2005,0.67
2006,0.56
2007,0.45
2008,0.37
2009,0.76
2010,0.24
2011,-0.01
2012,0.44
2013,1.2
2014,0.91
2015,0.83
2016,0.87
2017,0.95
2018,1.14
2019,1.52
2020,1.15
2021,0.56
2022,0.5
2023,1.09
2024,1.03
